location,event_date,check_in_from,check_in_to,event_title,job_family,company_name_or_type,qualifications,borough,location_name_and_address
Queens Workforce1 Career Center,"Friday, October 11, 2019",1:30 PM,1:45 PM,Security Guards,Protective Service,Core SVCS,Must have HSD/GED. Must have valid 8 & 16 hr. certificate and NYS Security License. Must be able to stand for long periods of time.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Monday, October 07, 2019",8:45 AM,9:00 AM,Seasonal Operations Admin,"Office, Administration, Support",Uncommon Goods,Must have HSD. Intermediate computer skills (Microsoft Excel). Experience with heavy calendar management. Excellent verbal and written communication skills.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
ITC - Staten Island,"Tuesday, October 08, 2019",9:00 AM,3:00 PM,Electricians,"Construction, Architecture",Various Companies,OSHA 30 Required. 2-3 years recent electrical experience. Working in NYC.$15-$30p/h,Staten Island,"ITC - Staten Island, 1972 Richmond Terrace, Staten Island, NY 10302"
Queens Workforce1 Career Center,"Monday, October 07, 2019",1:30 PM,1:45 PM,Sales Associates,"Sales, Marketing, Wholesaling",Levi Strauss & Company's,Must have strong customer service experience.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Flushing Library Workforce1 Career Center,"Thursday, October 10, 2019",9:30 AM,11:00 AM,Marketing Representatives,"Sales, Marketing, Wholesaling",MetroPlus Health Plan,Proficient English and Mandarin/Spanish/Russian/Korean/Urdu/Bengali/Hindi. 2 years of sales/customer relations and public speaking/presentation/workshop/office experience.,Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
Flushing Library Workforce1 Career Center,"Tuesday, October 08, 2019",1:00 PM,2:00 PM,Drivers,"Transportation, Shipping, Warehousing",Amazon,Must have be 21 years old and have a drivers license.,Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
ITC - Brooklyn,"Thursday, October 10, 2019",8:30 AM,9:00 AM,Seasonal Warehouse Lead,"Transportation, Shipping, Warehousing",Retail Distribution,"Train Warehouse associates on job duties, policies and procedures                                                                                                 Assist in supervision of warehouse associates $17",Brooklyn,"ITC - Brooklyn, Brooklyn Army Terminal 140 58th Street, Building 'B' Lobby, Brooklyn, NY 11220"
Queens Workforce1 Career Center,"Tuesday, October 08, 2019",1:30 PM,1:45 PM,Utility Workers,Building Cleaning and Maintenance,SSP America,"Ability to push, pull and lift at least 50 pounds is a must. Must have the ability to walk and stand for long periods of time. Ability to climb ladders is required.",Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Thursday, October 10, 2019",8:45 AM,9:00 AM,"Coordinators, Non-Certified/Certified HHAs, Free Mandarin/Spanish/English Classes",Healthcare Practitioners and Support,Americare,"Preferred languages: Mandarin, Spanish, English",Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Flushing Library Workforce1 Career Center,"Friday, October 11, 2019",1:00 PM,2:00 PM,Customer Service,Customer Service (Non-Sales),Spectrum,Must have related work experience.,Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
